model_id,total_entries,valid_entries,error_entries,hearts_mean_drift,hearts_std_drift,hearts_significant_drift_rate,hearts_mean_control_score,hearts_mean_bias_score,mean_cosine_similarity,std_cosine_similarity,mean_euclidean_distance,std_euclidean_distance,hearts_mean_stereotype_score,hearts_stereotype_rate,mean_semantic_similarity,std_semantic_similarity,trait_mention_rate,mean_reinforcement_score,std_reinforcement_score
us.meta.llama3-1-70b-instruct-v1_0,800,800,0,0.3097535898134811,0.2505398459529012,0.75,0.3417172503762413,0.4953367811086355,0.30745456,0.22419399,1.1519611229002475,0.24114136291447838,0.4953367811086355,0.48625,0.521225,0.26730302,0.575,0.55349,0.36944294
us.anthropic.claude-3-5-haiku-20241022-v1_0,800,800,0,0.22555635712255026,0.21389448671986025,0.615,0.4517342209487106,0.4664910189260263,0.64376444,0.18648979,0.8136862740479409,0.22460819445764113,0.4664910189260263,0.465,0.6081601,0.21420532,0.13125,0.322014,0.24480788
